Instance,Method,Optimality gap,Root ,Total time,Fixing time,% Fixed,Iterations,,,,,lower bound,upper bound
Brightkite_edges.txt,none,0.00%,36636.5,3.05,0,0.00%,0,,,,,36361.0,36361.0
Brightkite_edges.txt,one step,0.00%,36451.0,2.93,0.22,42.31%,1,,,,,36361.0,36361.0
Brightkite_edges.txt,recursive,0.00%,58164.5,0.36,0.35,99.78%,13,,,,,58160.0,58160.0
C4000-5.mtx,none,2186.67%,2000.0,10944.96,0,0.00%,0,,,,,15.0,343.0
C4000-5.mtx,one step,2186.67%,2000.0,10937.27,0.06,0.00%,1,,,,,15.0,343.0
C4000-5.mtx,recursive,2186.67%,2000.0,10927.26,0.06,0.00%,1,,,,,15.0,343.0
CA-CondMat.txt,none,0.00%,11976.5,1.06,0,0.00%,0,,,,,9612.0,9612.0
CA-CondMat.txt,one step,0.00%,9651.0,1.07,0.14,36.12%,1,,,,,9612.0,9612.0
CA-CondMat.txt,recursive,0.00%,23133.0,0.15,0.15,100.00%,5,,,,,23133.0,23133.0
Gowalla_edges.txt,none,0.00%,114588.0,19.17,0,0.00%,0,,,,,112369.0,112369.0
Gowalla_edges.txt,one step,0.00%,113193.0,14.16,0.71,33.55%,1,,,,,112369.0,112369.0
Gowalla_edges.txt,recursive,0.00%,195917.0,1.83,1.53,99.31%,27,,,,,195787.0,195787.0
Wiki-Vote.graph.txt,none,0.00%,4867.0,1.41,0,0.00%,0,,,,,4867.0,4867.0
Wiki-Vote.graph.txt,one step,0.00%,4867.0,1.17,0.03,35.10%,1,,,,,4867.0,4867.0
Wiki-Vote.graph.txt,recursive,0.00%,7115.0,0.07,0.07,99.94%,18,,,,,7115.0,7115.0
ca-citeseer.mtx,none,0.00%,122189.0,11.76,0,0.00%,0,,,,,98127.0,98127.0
ca-citeseer.mtx,one step,0.00%,98266.5,11.66,1.91,40.12%,1,,,,,98127.0,98127.0
ca-citeseer.mtx,recursive,0.00%,227311.5,1.87,1.87,99.99%,5,,,,,227311.0,227311.0
com-dblp.ungraph.txt,none,0.00%,175176.0,16.76,0,0.00%,0,,,,,152131.0,152131.0
com-dblp.ungraph.txt,one step,0.00%,152358.5,16.21,2.38,43.63%,1,,,,,152131.0,152131.0
com-dblp.ungraph.txt,recursive,0.00%,317063.0,2.41,2.40,99.99%,6,,,,,317060.0,317060.0
com-youtube.ungraph.txt,none,0.00%,859377.5,49.73,0,0.00%,0,,,,,857945.0,857945.0
com-youtube.ungraph.txt,one step,0.00%,858229.0,47.77,5.58,57.00%,1,,,,,857945.0,857945.0
com-youtube.ungraph.txt,recursive,0.00%,1134578.0,7.79,7.73,99.94%,9,,,,,1134559.0,1134559.0
facebook_combined.txt,none,0.00%,2058.0,37.45,0,0.00%,0,,,,,1046.0,1046.0
facebook_combined.txt,one step,0.00%,1948.5,33.05,0.04,7.38%,1,,,,,1046.0,1046.0
facebook_combined.txt,recursive,0.00%,2531.0,35.36,0.07,25.33%,6,,,,,1674.0,1674.0
flickrEdges.txt,none,0.26%,57145.5,10826.27,0,0.00%,0,,,,,50783.0,50913.0
flickrEdges.txt,one step,0.26%,55241.0,10826.18,0.51,0.54%,1,,,,,50783.0,50913.0
flickrEdges.txt,recursive,0.23%,60654.0,10818.50,2.17,6.61%,7,,,,,56661.0,56794.0
keller6.mtx,none,63.33%,1680.5,10863.33,0,0.00%,0,,,,,60.0,98.0
keller6.mtx,one step,63.33%,1680.5,10852.27,0.06,0.00%,1,,,,,60.0,98.0
keller6.mtx,recursive,63.33%,1680.5,10857.96,0.06,0.00%,1,,,,,60.0,98.0
p-hat1500-3.mtx,none,400.00%,750.0,10809.44,0,0.00%,0,,,,,11.0,55.0
p-hat1500-3.mtx,one step,400.00%,750.0,10809.12,0.01,0.00%,1,,,,,11.0,55.0
p-hat1500-3.mtx,recursive,400.00%,750.0,10811.03,0.01,0.00%,1,,,,,11.0,55.0
smallworld.graph.txt,none,14.93%,50001.0,10805.73,0,0.00%,0,,,,,22448.0,25799.0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
