Instance,number of nodes,number of edges,density,method,lower bound,upper bound,root relaxation,total_time,method_time,number of simplicial nodes fixed,number of iterations
Wiki-Vote.graph.txt,7117,100763,0.00,none,4867.0,4867.0,4867.0,3.45,0,0,0
Wiki-Vote.graph.txt,7117,100763,0.00,one_step_simplicial,4867.0,4867.0,4867.0,3.06,0.05,2498,1
Wiki-Vote.graph.txt,7117,100763,0.00,recursive_simplicial,4867.0,4867.0,4867.0,0.11,0.11,4865,18
com-dblp.ungraph.txt,317080,1049866,0.00,none,152131.0,152131.0,175176.0,36.27,0,0,0
com-dblp.ungraph.txt,317080,1049866,0.00,one_step_simplicial,152131.0,152131.0,152358.5,37.14,4.50,138337,1
com-dblp.ungraph.txt,317080,1049866,0.00,recursive_simplicial,152131.0,152131.0,152134.0,3.57,3.56,152117,6
smallworld.graph.txt,100002,499999,0.00,none,19154.0,99317.0,50001.0,3618.72,0,0,0
smallworld.graph.txt,100002,499999,0.00,one_step_simplicial,19154.0,99317.0,50001.0,3631.30,0.19,1,1
smallworld.graph.txt,100002,499999,0.00,recursive_simplicial,19154.0,99317.0,50001.0,3639.17,0.37,1,2
com-youtube.ungraph.txt,1134890,2987624,0.00,none,857945.0,857945.0,859377.5,97.71,0,0,0
com-youtube.ungraph.txt,1134890,2987624,0.00,one_step_simplicial,857945.0,857945.0,858229.0,100.91,10.45,646837,1
com-youtube.ungraph.txt,1134890,2987624,0.00,recursive_simplicial,857945.0,857945.0,857964.0,10.89,10.83,857628,9
test_instance_1.txt,4,3,0.50,none,2.0,2.0,2.0,0.00,0,0,0
test_instance_1.txt,4,3,0.50,one_step_simplicial,2.0,2.0,2.0,0.00,0.00,2,1
test_instance_1.txt,4,3,0.50,recursive_simplicial,2.0,2.0,2.0,0.00,0.00,2,2
email-enron-only.mtx,149,629,0.06,none,62.0,62.0,77.0,0.02,0,0,0
email-enron-only.mtx,149,629,0.06,one_step_simplicial,62.0,62.0,73.0,0.02,0.00,23,1
email-enron-only.mtx,149,629,0.06,recursive_simplicial,62.0,62.0,72.5,0.01,0.00,30,4
Gowalla_edges.txt,196591,950327,0.00,none,112369.0,112369.0,114588.0,35.18,0,0,0
Gowalla_edges.txt,196591,950327,0.00,one_step_simplicial,112369.0,112369.0,113193.0,30.34,1.34,65963,1
Gowalla_edges.txt,196591,950327,0.00,recursive_simplicial,112369.0,112369.0,112499.0,2.68,2.22,111823,27
ca-citeseer.mtx,227326,814140,0.00,none,98131.0,98131.0,122193.0,24.90,0,0,0
ca-citeseer.mtx,227326,814140,0.00,one_step_simplicial,98131.0,98131.0,98270.5,26.43,3.29,91210,1
ca-citeseer.mtx,227326,814140,0.00,recursive_simplicial,98131.0,98131.0,98131.5,2.69,2.68,98123,5
socfb-Northeastern19.mtx,13888,381940,0.00,none,3468.0,3903.0,6954.0,3610.26,0,0,0
socfb-Northeastern19.mtx,13888,381940,0.00,one_step_simplicial,3468.0,3835.0,6839.5,3610.25,0.05,533,1
socfb-Northeastern19.mtx,13888,381940,0.00,recursive_simplicial,3439.0,3894.0,6823.0,3608.96,0.20,612,4
polbooks.graph.txt,107,442,0.08,none,44.0,44.0,53.5,0.01,0,0,0
polbooks.graph.txt,107,442,0.08,one_step_simplicial,44.0,44.0,49.5,0.01,0.00,5,1
polbooks.graph.txt,107,442,0.08,recursive_simplicial,44.0,44.0,44.0,0.00,0.00,44,7
CA-HepPh.txt,12008,118521,0.00,none,4990.0,4990.0,6284.5,3.41,0,0,0
